Région;Indice de recherches
Île-de-France;100
Languedoc-Roussillon;94
Midi-Pyrénées;92
Aquitaine;89
Alsace;89
Provence-Alpes-Côte d'Azur;87
Rhône-Alpes;83
Centre-Val de Loire;75
Nord-Pas-de-Calais;74
Lorraine;73
Pays de la Loire;69
Bretagne;65
Auvergne;NaN
Bourgogne;NaN
Basse-Normandie;NaN
Centre;NaN
Champagne-Ardenne;NaN
Corse;NaN
Franche-Comté;NaN
Guadeloupe;NaN
Guyane;NaN
Haute-Normandie;NaN
Limousin;NaN
Martinique;NaN
Picardie;NaN
Poitou-Charentes;NaN
Aquitaine;NaN
